                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    145,                 1.9944,                 1.0185,                 0.9352,                0.55863,                0.08411,                0.09413,                0.03244,                    nan,                    nan,                    nan,              0.0071488,              0.0071488,              0.0071488
                    146,                 2.3329,                 1.0881,                0.97283,                0.72604,                0.08411,                0.10772,                 0.0461,                    nan,                    nan,                    nan,               0.007129,               0.007129,               0.007129
                    147,                 2.2369,                 1.0259,                0.97514,                0.59187,                0.08411,                0.10363,                  0.036,                    nan,                    nan,                    nan,              0.0071092,              0.0071092,              0.0071092
                    148,                 2.1286,                 1.0664,                0.93233,                0.54244,                0.07769,                0.10051,                0.03104,                    nan,                    nan,                    nan,              0.0070894,              0.0070894,              0.0070894
                    149,                 2.1763,                0.99497,                0.94252,                0.64836,                0.06542,                0.07942,                0.03242,                    nan,                    nan,                    nan,              0.0070696,              0.0070696,              0.0070696
                    150,                 2.1946,                 1.0171,                0.93731,                0.48745,                0.06542,                 0.0824,                0.03327,                    nan,                    nan,                    nan,              0.0070498,              0.0070498,              0.0070498
                    151,                 2.2465,                 1.0302,                0.94677,                0.44112,                0.06542,                0.08167,                0.02634,                    nan,                    nan,                    nan,                0.00703,                0.00703,                0.00703
                    152,                 2.0214,                0.97507,                0.89944,                0.49631,                0.08411,                0.10519,                0.03453,                    nan,                    nan,                    nan,              0.0070102,              0.0070102,              0.0070102
                    153,                 2.1723,                 1.0639,                0.97628,                0.56275,                0.05607,                0.06861,                0.02174,                    nan,                    nan,                    nan,              0.0069904,              0.0069904,              0.0069904
                    154,                 2.1728,                0.99049,                0.94412,                  0.704,                0.06542,                0.08681,                0.02382,                    nan,                    nan,                    nan,              0.0069706,              0.0069706,              0.0069706
                    155,                 2.2159,                 1.0101,                0.94798,                0.92824,                0.06542,                0.10536,                0.03886,                    nan,                    nan,                    nan,              0.0069508,              0.0069508,              0.0069508
